case,mode,repeat_index,setup_seconds,trajectory_seconds,total_seconds,decision,carrier_size,lower_bound,detector_seconds,gather_seconds,allocation_seconds,nonlinear_seconds,projection_diffusion_seconds,static_sparse_calls,fft_calls
heldout-oblique-line,fft,0,0.00024679099999502796,0.05752644100005,0.05777323200004503,REFERENCE_FFT,,,0.0,0.0,0.0,0.05335752899986801,0.0031811269994932445,0,48
heldout-oblique-line,fft,1,0.0001630059999797595,0.05747000700000626,0.05763301299998602,REFERENCE_FFT,,,0.0,0.0,0.0,0.05335676700065051,0.0031274819997406667,0,48
heldout-oblique-line,fft,2,0.00023405199999615434,0.07186583600002905,0.0720998880000252,REFERENCE_FFT,,,0.0,0.0,0.0,0.0647798910002848,0.005684603000077004,0,48
heldout-oblique-line,fft,3,0.00033797799994772504,0.06422048700005689,0.06455846500000462,REFERENCE_FFT,,,0.0,0.0,0.0,0.05948198800035698,0.0035558260000243536,0,48
heldout-oblique-line,fft,4,0.00022893499999554479,0.060382970999967256,0.0606119059999628,REFERENCE_FFT,,,0.0,0.0,0.0,0.0558671910001749,0.0034255579996624874,0,48
heldout-oblique-line,fft,5,0.0001844470000378351,0.06069858600005773,0.060883033000095566,REFERENCE_FFT,,,0.0,0.0,0.0,0.05594004999989011,0.0037353409999241194,0,48
heldout-oblique-line,fft,6,0.000229725999929542,0.05842297099991356,0.0586526969998431,REFERENCE_FFT,,,0.0,0.0,0.0,0.05390612100063663,0.0035623619999114453,0,48
heldout-oblique-line,static,0,0.0006062219999876106,0.0037963039999340253,0.004402525999921636,CERTIFIED_STATIC_CARRIER,15,15,0.00024266500008707226,0.0002678250001508786,8.826199939448998e-05,0.00020323399962762778,0.0024856490000502163,48,0
heldout-oblique-line,static,1,0.0004640590000235534,0.003754922000098304,0.0042189810001218575,CERTIFIED_STATIC_CARRIER,15,15,0.0001753539999072018,0.00028649000000768865,0.0001081859999203516,0.00019117099986942776,0.0024343139999700725,48,0
heldout-oblique-line,static,2,0.0006834189999835871,0.004939524999940659,0.005622943999924246,CERTIFIED_STATIC_CARRIER,15,15,0.00028251499998077634,0.0003588449993685572,9.887799956231902e-05,0.0009093980004308833,0.002739193000365958,48,0
heldout-oblique-line,static,3,0.0006049910000456293,0.0049462649999441055,0.005551255999989735,CERTIFIED_STATIC_CARRIER,15,15,0.0002090640000460553,0.0003304580000076385,0.00015785700020387594,0.0002347969998481858,0.0033777289993395243,48,0
heldout-oblique-line,static,4,0.0006032069999264422,0.003854631999956837,0.004457838999883279,CERTIFIED_STATIC_CARRIER,15,15,0.0002104469999721914,0.00026389000026938447,8.804599985978712e-05,0.00020425000013801764,0.0024785150004618117,48,0
heldout-oblique-line,static,5,0.0004807440000149654,0.00416297599997506,0.004643719999990026,CERTIFIED_STATIC_CARRIER,15,15,0.00017840900000010151,0.0005461019999302152,9.076599997115409e-05,0.0001949269997112424,0.0025648090002050594,48,0
heldout-oblique-line,static,6,0.0006058620000430892,0.004208675999961997,0.004814538000005086,CERTIFIED_STATIC_CARRIER,15,15,0.0002463199999738208,0.0003122189999658076,9.202299997923546e-05,0.00021420399980343063,0.0028450100004420165,48,0
heldout-even-axis,fft,0,0.00014602000010199845,0.05992197699993085,0.06006799700003285,REFERENCE_FFT,,,0.0,0.0,0.0,0.05549103599992122,0.003327473999661379,0,48
heldout-even-axis,fft,1,0.00017516399998385168,0.05916398699991987,0.05933915099990372,REFERENCE_FFT,,,0.0,0.0,0.0,0.054862028000343344,0.003349895999463115,0,48
heldout-even-axis,fft,2,0.00022307599999749073,0.06364651399997001,0.0638695899999675,REFERENCE_FFT,,,0.0,0.0,0.0,0.05894838300014271,0.0035306450000689438,0,48
heldout-even-axis,fft,3,0.00017679699999462173,0.060016249000000244,0.060193045999994865,REFERENCE_FFT,,,0.0,0.0,0.0,0.05591899299963643,0.003103890999796022,0,48
heldout-even-axis,fft,4,0.00028484799997841037,0.05960122400006185,0.05988607200004026,REFERENCE_FFT,,,0.0,0.0,0.0,0.05539724500079046,0.003161570000656866,0,48
heldout-even-axis,fft,5,0.0001654689999668335,0.057479202000081386,0.05764467100004822,REFERENCE_FFT,,,0.0,0.0,0.0,0.05341712499989626,0.003150149999783025,0,48
heldout-even-axis,fft,6,0.0002243679999764936,0.06001462800008994,0.060238996000066436,REFERENCE_FFT,,,0.0,0.0,0.0,0.05574841199961611,0.0032528309997132965,0,48
heldout-even-axis,static,0,0.0004632470000842659,0.0036963640000067244,0.00415961100009099,CERTIFIED_STATIC_CARRIER,7,7,0.00015381100001832237,0.0002517189994932778,8.657799992306536e-05,0.00014209499943262927,0.0024783059999435864,48,0
heldout-even-axis,static,1,0.00034859400000186724,0.0036298730000225987,0.003978467000024466,CERTIFIED_STATIC_CARRIER,7,7,0.00011251899991293612,0.00024621699981253187,8.713400018223183e-05,0.0001278950001051271,0.002455028999975184,48,0
heldout-even-axis,static,2,0.0004324309999219622,0.0037602800000513525,0.004192710999973315,CERTIFIED_STATIC_CARRIER,7,7,0.00015251000002081128,0.00025575300026048353,8.945499985202332e-05,0.00014424599942230998,0.0024922800001832,48,0
heldout-even-axis,static,3,0.0003333519999841883,0.0038840770000660996,0.004217429000050288,CERTIFIED_STATIC_CARRIER,7,7,0.000115984999979446,0.0002635290001080648,8.791100049165834e-05,0.00013475200000812038,0.0026706079994482934,48,0
heldout-even-axis,static,4,0.0004580199999963952,0.003972890000000007,0.004430909999996402,CERTIFIED_STATIC_CARRIER,7,7,0.0001469610000413013,0.000297109000484852,9.169000020392559e-05,0.00015008000025318324,0.002678450000303201,48,0
heldout-even-axis,static,5,0.0003525209999679646,0.0037797790000695386,0.004132300000037503,CERTIFIED_STATIC_CARRIER,7,7,0.0001225940000040282,0.00028960400049982127,0.00010577899990948936,0.00013292100049966393,0.0025141369999346352,48,0
heldout-even-axis,static,6,0.0004297159999850919,0.004397980000021562,0.004827696000006654,CERTIFIED_STATIC_CARRIER,7,7,0.00014985500001785113,0.0002891080000608781,9.88080004162839e-05,0.00016116599999804748,0.003065862000426023,48,0
heldout-xy-plane-generators,fft,0,0.00022944600004848326,0.05893731599996954,0.059166762000018025,REFERENCE_FFT,,,0.0,0.0,0.0,0.054514869000286126,0.0033928980000155207,0,48
heldout-xy-plane-generators,fft,1,0.000327332000097158,0.06589724299999489,0.06622457500009205,REFERENCE_FFT,,,0.0,0.0,0.0,0.06067612499987263,0.003876334000779025,0,48
heldout-xy-plane-generators,fft,2,0.00022559000001365348,0.06404027799999312,0.06426586800000678,REFERENCE_FFT,,,0.0,0.0,0.0,0.059020541999984744,0.0036794319995578917,0,48
heldout-xy-plane-generators,fft,3,0.00034634100006769586,0.07158418400001665,0.07193052500008434,REFERENCE_FFT,,,0.0,0.0,0.0,0.0663392889998704,0.0036895879999292447,0,48
heldout-xy-plane-generators,fft,4,0.00022609099994497228,0.06573996100007662,0.06596605200002159,REFERENCE_FFT,,,0.0,0.0,0.0,0.06052961500006404,0.0038773800004037184,0,48
heldout-xy-plane-generators,fft,5,0.00030832400000235793,0.05728797400001895,0.057596298000021307,REFERENCE_FFT,,,0.0,0.0,0.0,0.053176668999867616,0.003163980000636002,0,48
heldout-xy-plane-generators,fft,6,0.00022723200004293176,0.07353122500001064,0.07375845700005357,REFERENCE_FFT,,,0.0,0.0,0.0,0.06784769399951074,0.004170006000663307,0,48
heldout-xy-plane-generators,static,0,0.04148755000005622,0.025459802999989734,0.06694735300004595,CERTIFIED_STATIC_CARRIER,225,225,0.018277172000011888,0.0021442159996922783,0.00011814599929493852,0.01729067899941583,0.0030366209999783678,48,0
heldout-xy-plane-generators,static,1,0.03988615900004788,0.017969649000065147,0.05785580800011303,CERTIFIED_STATIC_CARRIER,225,225,0.018227186999979494,0.0005295869997326008,0.00010689799989904714,0.013423586000271825,0.0028992449997531367,48,0
heldout-xy-plane-generators,static,2,0.043788643999960186,0.018736003000071833,0.06252464700003202,CERTIFIED_STATIC_CARRIER,225,225,0.022745337999936055,0.0005903189997980007,0.000127750000388005,0.014016982000498501,0.003007652000519556,48,0
heldout-xy-plane-generators,static,3,0.0370489090000774,0.028669810000110374,0.06571871900018778,CERTIFIED_STATIC_CARRIER,225,225,0.015594353999972554,0.0012613489998329896,0.00013794600033634197,0.021157121999863193,0.004394456999875729,48,0
heldout-xy-plane-generators,static,4,0.03693134100001316,0.019088393000060933,0.056019734000074095,CERTIFIED_STATIC_CARRIER,225,225,0.015942446999929416,0.0005682049998085859,0.00011527399976785091,0.01405893999969976,0.0033417199998666547,48,0
heldout-xy-plane-generators,static,5,0.03709804200002509,0.01795143200001803,0.05504947400004312,CERTIFIED_STATIC_CARRIER,225,225,0.015218356999980642,0.0005251010004485579,0.00016390800021781615,0.013625407000063205,0.0028134360005651615,48,0
heldout-xy-plane-generators,static,6,0.04225688799999716,0.02476057100000162,0.06701745899999878,CERTIFIED_STATIC_CARRIER,225,225,0.018289430999971046,0.0010284579999506605,0.00013796499956697517,0.016264268999975684,0.00633415200024956,48,0
heldout-random48-seed926211,fft,0,0.0002752240000063466,0.06863944099995933,0.06891466499996568,REFERENCE_FFT,,,0.0,0.0,0.0,0.06324699200024497,0.00425281200034533,0,48
heldout-random48-seed926211,fft,1,0.00023496400001477014,0.06073704599998564,0.06097201000000041,REFERENCE_FFT,,,0.0,0.0,0.0,0.05607820400041419,0.003560296999921775,0,48
heldout-random48-seed926211,fft,2,0.00024088299994673434,0.06485690700003488,0.06509778999998161,REFERENCE_FFT,,,0.0,0.0,0.0,0.05989375299998301,0.003843535999976666,0,48
heldout-random48-seed926211,fft,3,0.0003050789999861081,0.06854079199990792,0.06884587099989403,REFERENCE_FFT,,,0.0,0.0,0.0,0.06292546500026219,0.004230290999998942,0,48
heldout-random48-seed926211,fft,4,0.0005127810001113176,0.061098098999991635,0.06161088000010295,REFERENCE_FFT,,,0.0,0.0,0.0,0.05664093199970921,0.003374819999976353,0,48
heldout-random48-seed926211,fft,5,0.0002333310000040001,0.06454179299998941,0.06477512399999341,REFERENCE_FFT,,,0.0,0.0,0.0,0.05963780299998689,0.003685086000245974,0,48
heldout-random48-seed926211,fft,6,0.00022777300000598188,0.06327845100008744,0.06350622400009343,REFERENCE_FFT,,,0.0,0.0,0.0,0.05866046700032257,0.003404594000699035,0,48
heldout-random48-seed926211,static,0,0.0009726040000259673,0.06979836499999692,0.07077096900002289,FALLBACK_DENSE,,385,0.0007049109999570646,0.0,0.0,0.06392834299947481,0.004612925000174073,0,48
heldout-random48-seed926211,static,1,0.0007703490000494639,0.07178569100005916,0.07255604000010862,FALLBACK_DENSE,,385,0.0005406729999322124,0.0,0.0,0.06654431700042096,0.004130065000254035,0,48
heldout-random48-seed926211,static,2,0.0008314919999747872,0.0738181760000316,0.07464966800000639,FALLBACK_DENSE,,385,0.0005385409999689728,0.0,0.0,0.06834486799971273,0.004277730999888263,0,48
heldout-random48-seed926211,static,3,0.0023084650000555484,0.06507411400002638,0.06738257900008193,FALLBACK_DENSE,,385,0.002076095000006717,0.0,0.0,0.059924381999849174,0.00393378199999006,0,48
heldout-random48-seed926211,static,4,0.0009882269999934579,0.06067350000000715,0.06166172700000061,FALLBACK_DENSE,,385,0.000754626000002645,0.0,0.0,0.05594994899990979,0.0036595480002006298,0,48
heldout-random48-seed926211,static,5,0.0007908710000492647,0.06332723499997428,0.06411810600002354,FALLBACK_DENSE,,385,0.0005537229999390547,0.0,0.0,0.05849367799999072,0.0036809470003618117,0,48
heldout-random48-seed926211,static,6,0.0008170300000074349,0.06113759900006244,0.06195462900006987,FALLBACK_DENSE,,385,0.0005839489999743819,0.0,0.0,0.05655393199981518,0.0035781719997203254,0,48
heldout-random96-seed926212,fft,0,0.00015942000004542933,0.063123346999987,0.06328276700003244,REFERENCE_FFT,,,0.0,0.0,0.0,0.05781706200025383,0.0039152320000539476,0,48
heldout-random96-seed926212,fft,1,0.0002590000000282089,0.059598481999955766,0.059857481999983975,REFERENCE_FFT,,,0.0,0.0,0.0,0.05508048000012877,0.003349391000028845,0,48
heldout-random96-seed926212,fft,2,0.00022706200002176047,0.05751123000004554,0.057738292000067304,REFERENCE_FFT,,,0.0,0.0,0.0,0.05339398299986442,0.0031676050000442046,0,48
heldout-random96-seed926212,fft,3,0.0003339529999948354,0.06394531500006906,0.0642792680000639,REFERENCE_FFT,,,0.0,0.0,0.0,0.05844074899971474,0.0036961740000833743,0,48
heldout-random96-seed926212,fft,4,0.0004553759999907925,0.07009425100000044,0.07054962699999123,REFERENCE_FFT,,,0.0,0.0,0.0,0.0643844240001954,0.004313334999778817,0,48
heldout-random96-seed926212,fft,5,0.00034999700005755585,0.05911537499991937,0.059465371999976924,REFERENCE_FFT,,,0.0,0.0,0.0,0.05470555999977478,0.003430152000078124,0,48
heldout-random96-seed926212,fft,6,0.00022685099997943325,0.0582524150000836,0.058479266000063035,REFERENCE_FFT,,,0.0,0.0,0.0,0.054106873000591804,0.003201177999699212,0,48
heldout-random96-seed926212,static,0,0.0013463860000229033,0.06754269999998996,0.06888908600001287,FALLBACK_DENSE,,385,0.0007161680000535853,0.0,0.0,0.06282472800035066,0.003582626999786953,0,48
heldout-random96-seed926212,static,1,0.001156400000013491,0.06291866499998378,0.06407506499999727,FALLBACK_DENSE,,385,0.0006996629999775905,0.0,0.0,0.057947230000195304,0.0035149519999322365,0,48
heldout-random96-seed926212,static,2,0.0008361889999832783,0.05575495599998703,0.05659114499997031,FALLBACK_DENSE,,385,0.0006022869999924296,0.0,0.0,0.05146682700001293,0.0032740990000093007,0,48
heldout-random96-seed926212,static,3,0.0008227480000186915,0.0593312490000244,0.06015399700004309,FALLBACK_DENSE,,385,0.0005840390000457774,0.0,0.0,0.054500621000670435,0.003754769999773089,0,48
heldout-random96-seed926212,static,4,0.0011080379999839352,0.060228620000088995,0.06133665800007293,FALLBACK_DENSE,,385,0.0006524629999375975,0.0,0.0,0.05561226800011809,0.0034394259996588517,0,48
heldout-random96-seed926212,static,5,0.0008493090000456505,0.05940107399999306,0.06025038300003871,FALLBACK_DENSE,,385,0.0006147550000150659,0.0,0.0,0.054891201000145884,0.0034509499996602244,0,48
heldout-random96-seed926212,static,6,0.0008672349999869766,0.05844786000000113,0.059315094999988105,FALLBACK_DENSE,,385,0.0005805140000347819,0.0,0.0,0.05440625700009605,0.0030882590002647703,0,48
