theta,live_multipliers,max_relative_error,mean_relative_error
0.01,73,0.0004805012961507371,0.00014139304580910645
0.001,73,4.810627343854179e-05,1.4145405795067675e-05
0.0001,73,4.8111906439940455e-06,1.4146016679683018e-06
1e-05,73,4.811216324229761e-07,1.4146276869999799e-07
1e-06,73,4.8148007247839075e-08,1.415778709640954e-08
