q,chi,N0_mod_q,generic_N0_mod_q,max_zero_multiplicity_mod_q,N0_mod_q2,generic_N0_mod_q2,max_zero_multiplicity_mod_q2
11,1,51,58,4,13588,13588,2
11,-1,51,58,4,13588,13588,2
13,1,84,88,3,27076,27076,2
13,-1,85,88,3,27076,27076,2
23,1,354,358,3,275116,275116,2
23,-1,353,358,4,275116,275116,2
31,1,716,718,3,914908,914908,2
31,-1,716,718,3,914908,914908,2
53,1,2366,2368,3,7865236,7865236,2
53,-1,2366,2368,3,7865236,7865236,2
