central_shell_r,h,chirality,p_minus4,p_minus3,p_minus2,p_minus1,p0,p_plus1,p_plus2,p_plus3,p_plus4,endpoint_span
10690,-2474,1,171283421,171315481,171347543,171379609,171411677,171443749,171475823,171507901,171539981,256560
19700,-9494,1,581889131,581948221,582007313,582066409,582125507,582184609,582243713,582302821,582361931,472800
32850,-2774,1,1618286801,1618385341,1618483883,1618582429,1618680977,1618779529,1618878083,1618976641,1619075201,788400
69670,-5714,1,7280021621,7280230621,7280439623,7280648629,7280857637,7281066649,7281275663,7281484681,7281693701,1672080
74210,18646,1,8259814301,8260036921,8260259543,8260482169,8260704797,8260927429,8261150063,8261372701,8261595341,1781040
76910,-21584,1,8871777671,8872008391,8872239113,8872469839,8872700567,8872931299,8873162033,8873392771,8873623511,1845840
96900,-36794,1,14083215431,14083506121,14083796813,14084087509,14084378207,14084668909,14084959613,14085250321,14085541031,2325600
107815,7624,-1,17434825207,17435148641,17435472079,17435795519,17436118963,17436442409,17436765859,17437089311,17437412767,2587560
109165,11134,-1,17874197017,17874524501,17874851989,17875179479,17875506973,17875834469,17876161969,17876489471,17876816977,2619960
147300,34066,1,32544201491,32544643381,32545085273,32545527169,32545969067,32546410969,32546852873,32547294781,32547736691,3535200
149890,2566,1,33698722061,33699171721,33699621383,33700071049,33700520717,33700970389,33701420063,33701869741,33702319421,3597360
162025,-12266,-1,39376194397,39376680461,39377166529,39377652599,39378138673,39378624749,39379110829,39379596911,39380082997,3888600
168675,55564,-1,42674914927,42675420941,42675926959,42676432979,42676939003,42677445029,42677951059,42678457091,42678963127,4048200
171965,-46496,-1,44355831787,44356347671,44356863559,44357379449,44357895343,44358411239,44358927139,44359443041,44359958947,4127160
176935,-61826,-1,46956806317,46957337111,46957867909,46958398709,46958929513,46959460319,46959991129,46960521941,46961052757,4246440
262915,-83456,-1,103683207427,103683996161,103684784899,103685573639,103686362383,103687151129,103687939879,103688728631,103689517387,6309960
265560,-69464,1,105779914241,105780710911,105781507583,105782304259,105783100937,105783897619,105784694303,105785490991,105786287681,6373440
279480,125176,1,117160377041,117161215471,117162053903,117162892339,117163730777,117164569219,117165407663,117166246111,117167084561,6707520
312045,-44456,-1,146054334067,146055270191,146056206319,146057142449,146058078583,146059014719,146059950859,146060887001,146061823147,7489080
318765,69064,-1,152412931747,152413888031,152414844319,152415800609,152416756903,152417713199,152418669499,152419625801,152420582107,7650360
