variant,N,prime_count,global_prime_density,E1_primes,E1_total,E2_primes,E2_total,E3_primes,E3_total,axis_prime_density,axis_enrichment,S12_primes,S12_total,S23_primes,S23_total,S31_primes,S31_total
fixed_cyclic,19665,2226,0.11319603356216629,26,114,25,114,27,114,0.22807017543859648,2.0148247978436657,685,6441,700,6441,763,6441
alternating_orientation,19665,2226,0.11319603356216629,26,114,26,114,26,114,0.22807017543859648,2.0148247978436657,726,6441,700,6441,722,6441
