central_shell_r,h,chirality,p_minus4,p_minus3,p_minus2,p_minus1,p0,p_plus1,p_plus2,p_plus3,p_plus4,endpoint_span
1615225,40924,-1,3913545769977,3913550615661,3913555461349,3913560307039,3913565152733,3913569998429,3913574844129,3913579689831,3913584535537,38765400
1630935,-279146,-1,3990016792477,3990021685261,3990026578049,3990031470839,3990036363633,3990041256429,3990046149229,3990051042031,3990055934837,39142440
1643340,-438524,1,4050975184801,4050980114791,4050985044783,4050989974779,4050994904777,4050999834779,4051004764783,4051009694791,4051014624801,39440160
1650825,-374456,-1,4087999848977,4088004801461,4088009753949,4088014706439,4088019658933,4088024611429,4088029563929,4088034516431,4088039468937,39619800
1665540,34696,1,4161160543801,4161165540511,4161170537223,4161175533939,4161180530657,4161185527379,4161190524103,4161195520831,4161200517561,39972960
1677795,304804,-1,4222619363477,4222624396861,4222629430249,4222634463639,4222639497033,4222644530429,4222649563829,4222654597231,4222659630637,40267080
1683745,149074,-1,4252610534977,4252615586221,4252620637469,4252625688719,4252630739973,4252635791229,4252640842489,4252645893751,4252650945017,40409880
1684145,6844,-1,4254633966577,4254639019021,4254644071469,4254649123919,4254654176373,4254659228829,4254664281289,4254669333751,4254674386217,40419480
1685355,535234,-1,4260751812877,4260756868961,4260761925049,4260766981139,4260772037233,4260777093329,4260782149429,4260787205531,4260792261637,40448520
1691285,316234,-1,4290791391277,4290796465161,4290801539049,4290806612939,4290811686833,4290816760729,4290821834629,4290826908531,4290831982437,40590840
1692780,-250184,1,4298384899801,4298389978111,4298395056423,4298400134739,4298405213057,4298410291379,4298415369703,4298420448031,4298425526361,40626720
1712995,-465266,-1,4401587025277,4401592164261,4401597303249,4401602442239,4401607581233,4401612720229,4401617859229,4401622998231,4401628137237,41111880
1724160,50596,1,4459751301901,4459756474351,4459761646803,4459766819259,4459771991717,4459777164179,4459782336643,4459787509111,4459792681581,41379840
1729000,-133244,1,4484826255001,4484831443911,4484836632823,4484841821739,4484847010657,4484852199579,4484857388503,4484862577431,4484867766361,41496000
1734255,567094,-1,4512125798977,4512131001761,4512136204549,4512141407339,4512146610133,4512151812929,4512157015729,4512162218531,4512167421337,41622120
1735035,-614906,-1,4516182724477,4516187929601,4516193134729,4516198339859,4516203544993,4516208750129,4516213955269,4516219160411,4516224365557,41640840
1745315,-370436,-1,4569872750577,4569877986501,4569883222429,4569888458359,4569893694293,4569898930229,4569904166169,4569909402111,4569914638057,41887560
1753675,78694,-1,4613768949877,4613774210911,4613779471949,4613784732989,4613789994033,4613795255079,4613800516129,4613805777181,4613811038237,42088200
1756675,-427256,-1,4629564872877,4629570142911,4629575412949,4629580682989,4629585953033,4629591223079,4629596493129,4629601763181,4629607033237,42160200
1760640,736156,1,4650496552201,4650501834071,4650507115943,4650512397819,4650517679697,4650522961579,4650528243463,4650533525351,4650538807241,42255360
1764705,369814,-1,4671991717077,4671997011161,4672002305249,4672007599339,4672012893433,4672018187529,4672023481629,4672028775731,4672034069837,42352920
1775430,42196,1,4728905237401,4728910563631,4728915889863,4728921216099,4728926542337,4728931868579,4728937194823,4728942521071,4728947847321,42610320
1779850,504496,1,4752471945001,4752477284551,4752482624103,4752487963659,4752493303217,4752498642779,4752503982343,4752509321911,4752514661481,42716400
1786845,-78986,-1,4789880271277,4789885631801,4789890992329,4789896352859,4789901713393,4789907073929,4789912434469,4789917795011,4789923155557,42884280
1790765,-573746,-1,4810926021777,4810931394061,4810936766349,4810942138639,4810947510933,4810952883229,4810958255529,4810963627831,4810969000137,42978360
1791980,-309134,1,4817430714601,4817436090511,4817441466423,4817446842339,4817452218257,4817457594179,4817462970103,4817468346031,4817473721961,43007520
1795165,-717926,-1,4834554755377,4834560140861,4834565526349,4834570911839,4834576297333,4834581682829,4834587068329,4834592453831,4834597839337,43083960
1811700,-717374,1,4924008039001,4924013474071,4924018909143,4924024344219,4924029779297,4924035214379,4924040649463,4924046084551,4924051519641,43480800
1813060,69016,1,4931403627001,4931409066151,4931414505303,4931419944459,4931425383617,4931430822779,4931436261943,4931441701111,4931447140281,43513440
1813995,132724,-1,4936493903277,4936499344861,4936504786449,4936510228039,4936515669633,4936521111229,4936526552829,4936531994431,4936537436037,43535880
1818575,-22196,-1,4961448795277,4961454250961,4961459706649,4961465162339,4961470618033,4961476073729,4961481529429,4961486985131,4961492440837,43645800
1826370,-543014,1,5004114271801,5004119750911,5004125230023,5004130709139,5004136188257,5004141667379,5004147146503,5004152625631,5004158104761,43832880
1833030,-52814,1,5040666893401,5040672392491,5040677891583,5040683390679,5040688889777,5040694388879,5040699887983,5040705387091,5040710886201,43992720
1842360,-291914,1,5092114458001,5092119983991,5092125509983,5092131035979,5092136561977,5092142087979,5092147613983,5092153139991,5092158666001,44216640
1845760,372136,1,5110923830401,5110929367671,5110934904943,5110940442219,5110945979497,5110951516779,5110957054063,5110962591351,5110968128641,44298240
1847895,-514046,-1,5122761983177,5122767526861,5122773070549,5122778614239,5122784157933,5122789701629,5122795245329,5122800789031,5122806332737,44349480
1856550,486346,1,5170877397001,5170882966591,5170888536183,5170894105779,5170899675377,5170905244979,5170910814583,5170916384191,5170921953801,44557200
1857045,-289886,-1,5173633605277,5173639176361,5173644747449,5173650318539,5173655889633,5173661460729,5173667031829,5173672602931,5173678174037,44569080
1864100,-734144,1,5212987190001,5212992782311,5212998374623,5213003966939,5213009559257,5213015151579,5213020743903,5213026336231,5213031928561,44738400
1866270,688096,1,5225136203401,5225141802111,5225147400823,5225152999539,5225158598257,5225164196979,5225169795703,5225175394431,5225180993161,44790480
1873160,79486,1,5263782353101,5263787972551,5263793592003,5263799211459,5263804830917,5263810450379,5263816069843,5263821689311,5263827308781,44955840
1877745,103624,-1,5289571541677,5289577175041,5289582808409,5289588441779,5289594075153,5289599708529,5289605341909,5289610975291,5289616608677,45065880
1882650,-167954,1,5317230832501,5317236478751,5317242125003,5317247771259,5317253417517,5317259063779,5317264710043,5317270356311,5317276002581,45183600
1886350,-782414,1,5338143390001,5338149047351,5338154704703,5338160362059,5338166019417,5338171676779,5338177334143,5338182991511,5338188648881,45272400
1891630,-669884,1,5368050622201,5368056295391,5368061968583,5368067641779,5368073314977,5368078988179,5368084661383,5368090334591,5368096007801,45399120
1901265,39964,-1,5422847414377,5422853118161,5422858821949,5422864525739,5422870229533,5422875933329,5422881637129,5422887340931,5422893044737,45630360
1915515,-61196,-1,5504457572977,5504463319461,5504469065949,5504474812439,5504480558933,5504486305429,5504492051929,5504497798431,5504503544937,45972360
1927395,577834,-1,5572933649977,5572939432561,5572945215149,5572950997739,5572956780333,5572962562929,5572968345529,5572974128131,5572979910737,46257480
1936260,63466,1,5624337883801,5624343692551,5624349501303,5624355310059,5624361118817,5624366927579,5624372736343,5624378545111,5624384353881,46470240
1946500,-425804,1,5684014056001,5684019895591,5684025735183,5684031574779,5684037414377,5684043253979,5684049093583,5684054933191,5684060772801,46716000
1949860,-68894,1,5703657722401,5703663572071,5703669421743,5703675271419,5703681121097,5703686970779,5703692820463,5703698670151,5703704519841,46796640
1959465,-78176,-1,5759979361177,5759985240061,5759991118949,5759996997839,5760002876733,5760008755629,5760014634529,5760020513431,5760026392337,47027160
1961550,-755774,1,5772231975001,5772237859591,5772243744183,5772249628779,5772255513377,5772261397979,5772267282583,5772273167191,5772279051801,47077200
1973315,65524,-1,5841650267077,5841656187061,5841662107049,5841668027039,5841673947033,5841679867029,5841685787029,5841691707031,5841697627037,47359560
1983570,620146,1,5902539003001,5902544953591,5902550904183,5902556854779,5902562805377,5902568755979,5902574706583,5902580657191,5902586607801,47605680
1990960,712996,1,5945859403901,5945865376771,5945871349643,5945877322519,5945883295397,5945889268279,5945895241163,5945901214051,5945907186941,47783040
1991330,913726,1,5948069771141,5948075745121,5948081719103,5948087693089,5948093667077,5948099641069,5948105615063,5948111589061,5948117563061,47791920
1994300,-378464,1,5965824424961,5965830407851,5965836390743,5965842373639,5965848356537,5965854339439,5965860322343,5965866305251,5965872288161,47863200
