central_shell_r,h,chirality,p_minus4,p_minus3,p_minus2,p_minus1,p0,p_plus1,p_plus2,p_plus3,p_plus4,endpoint_span
627145,-116396,-1,589971135157,589973016591,589974898029,589976779469,589978660913,589980542359,589982423809,589984305261,589986186717,15051480
628205,266104,-1,591968032357,591969916971,591971801589,591973686209,591975570833,591977455459,591979340089,591981224721,591983109357,15076920
634810,-259994,1,604455908601,604457813021,604459717443,604461621869,604463526297,604465430729,604467335163,604469239601,604471144041,15235440
639115,267184,-1,612680856637,612682773971,612684691309,612686608649,612688525993,612690443339,612692360689,612694278041,612696195397,15338760
642715,-111236,-1,619604491477,619606419611,619608347749,619610275889,619612204033,619614132179,619616060329,619617988481,619619916637,15425160
647685,54754,-1,629231663547,629233606601,629235549659,629237492719,629239435783,629241378849,629243321919,629245264991,629247208067,15544440
649485,-29756,-1,632734631197,632736579651,632738528109,632740476569,632742425033,632744373499,632746321969,632748270441,632750218917,15587640
652100,-174044,1,637839848001,637841804291,637843760583,637845716879,637847673177,637849629479,637851585783,637853542091,637855498401,15650400
658550,103216,1,650516207501,650518183141,650520158783,650522134429,650524110077,650526085729,650528061383,650530037041,650532012701,15805200
660615,-206366,-1,654604818157,654606799991,654608781829,654610763669,654612745513,654614727359,654616709209,654618691061,654620672917,15854760
664330,-301304,1,661997967401,661999960381,662001953363,662003946349,662005939337,662007932329,662009925323,662011918321,662013911321,15943920
678130,-87524,1,689785634401,689787668781,689789703163,689791737549,689793771937,689795806329,689797840723,689799875121,689801909521,16275120
681265,28384,-1,696181043917,696183087701,696185131489,696187175279,696189219073,696191262869,696193306669,696195350471,696197394277,16350360
684870,-137984,1,703572755401,703574810001,703576864603,703578919209,703580973817,703583028429,703585083043,703587137661,703589192281,16436880
685960,-143984,1,705814009301,705816067171,705818125043,705820182919,705822240797,705824298679,705826356563,705828414451,705830472341,16463040
686625,-148826,-1,707183139037,707185198911,707187258789,707189318669,707191378553,707193438439,707195498329,707197558221,707199618117,16479000
689010,-273944,1,712104720201,712106787241,712108854283,712110921329,712112988377,712115055429,712117122483,712119189541,712121256601,16536240
692245,-188936,-1,718812041797,718814118471,718816195149,718818271829,718820348513,718822425199,718824501889,718826578581,718828655277,16613880
