# R055 exhaustive exact analysis
BASIN	9	T0_CANONICAL_MIN	000100020003010101020200020102020300	1422
BASIN	9	T1_CANONICAL_MAX	000000010002000301000101010202000201	1600
BASIN	9	T1_CANONICAL_MAX	000000010002000301000101010202010202	1585
BASIN	9	T1_CANONICAL_MAX	000000010002010001010102020002010202	475
BASIN	9	T1_CANONICAL_MAX	000100020003010001010102020002010202	1354
BASIN	9	T1_CANONICAL_MAX	000100020003010101020200020102020300	1491
BASIN	9	T2_ORIENTATION_MOVE_LEX	000000010002000301000101010202000201	1507
BASIN	9	T2_ORIENTATION_MOVE_LEX	000000010002000301000101010202010202	1578
BASIN	9	T2_ORIENTATION_MOVE_LEX	000000010002010001010102020002010202	548
BASIN	9	T2_ORIENTATION_MOVE_LEX	000100020003010001010102020002010202	1402
BASIN	9	T2_ORIENTATION_MOVE_LEX	000100020003010101020200020102020300	1470
SUMMARY	10	30490	30086	135	1	22	1	1	5	4	1.048097
GMIN	10	0001000200030100010101020103020002010202
PMIN	10	0001000200030100010101020103020002010202
LOCAL	10	0000000100020003010001010102020002010202	0	147
LOCAL	10	0000000100020003010001010102020002010300	0	150
LOCAL	10	0001000200030100010101020103020002010202	1	135
LOCAL	10	0001000200030100010101020200020102020300	0	138
LOCAL	10	0001000201010102010302000201020202030301	0	154
BASIN	10	T0_CANONICAL_MIN	0000000100020003010001010102020002010202	12062
BASIN	10	T0_CANONICAL_MIN	0000000100020003010001010102020002010300	25
BASIN	10	T0_CANONICAL_MIN	0001000200030100010101020103020002010202	4449
BASIN	10	T0_CANONICAL_MIN	0001000200030100010101020200020102020300	5416
BASIN	10	T0_CANONICAL_MIN	0001000201010102010302000201020202030301	8134
BASIN	10	T1_CANONICAL_MAX	0000000100020003010001010102020002010202	10034
BASIN	10	T1_CANONICAL_MAX	0000000100020003010001010102020002010300	25
BASIN	10	T1_CANONICAL_MAX	0001000200030100010101020103020002010202	3574
BASIN	10	T1_CANONICAL_MAX	0001000200030100010101020200020102020300	7340
BASIN	10	T1_CANONICAL_MAX	0001000201010102010302000201020202030301	9113
BASIN	10	T2_ORIENTATION_MOVE_LEX	0000000100020003010001010102020002010202	10286
BASIN	10	T2_ORIENTATION_MOVE_LEX	0000000100020003010001010102020002010300	25
BASIN	10	T2_ORIENTATION_MOVE_LEX	0001000200030100010101020103020002010202	3705
BASIN	10	T2_ORIENTATION_MOVE_LEX	0001000200030100010101020200020102020300	7206
BASIN	10	T2_ORIENTATION_MOVE_LEX	0001000201010102010302000201020202030301	8864
SUMMARY	11	143552	141229	181	1	24	2	1	6	5	4.290083
GMIN	11	00010002000301000101010201030200020102020300
PMIN	11	00000001000200030100010101020103020002010202
PMIN	11	00010002000301000101010201030200020102020300
LOCAL	11	00000001000200030100010101020103020002010202	0	196
LOCAL	11	00000001000200030100010101020200020102020300	0	195
LOCAL	11	00010002000300040101010201030200020102020203	0	198
LOCAL	11	00010002000301000101010201030200020102020300	1	181
LOCAL	11	00010002000301010102010302000201020202030301	0	189
LOCAL	11	00010002010001010102010302000201020202030301	0	203
BASIN	11	T0_CANONICAL_MIN	00000001000200030100010101020103020002010202	43680
BASIN	11	T0_CANONICAL_MIN	00000001000200030100010101020200020102020300	8360
BASIN	11	T0_CANONICAL_MIN	00010002000300040101010201030200020102020203	9907
BASIN	11	T0_CANONICAL_MIN	00010002000301000101010201030200020102020300	13342
BASIN	11	T0_CANONICAL_MIN	00010002000301010102010302000201020202030301	47358
BASIN	11	T0_CANONICAL_MIN	00010002010001010102010302000201020202030301	18582
BASIN	11	T1_CANONICAL_MAX	00000001000200030100010101020103020002010202	40665
BASIN	11	T1_CANONICAL_MAX	00000001000200030100010101020200020102020300	8311
BASIN	11	T1_CANONICAL_MAX	00010002000300040101010201030200020102020203	9829
BASIN	11	T1_CANONICAL_MAX	00010002000301000101010201030200020102020300	12062
BASIN	11	T1_CANONICAL_MAX	00010002000301010102010302000201020202030301	52089
BASIN	11	T1_CANONICAL_MAX	00010002010001010102010302000201020202030301	18273
BASIN	11	T2_ORIENTATION_MOVE_LEX	00000001000200030100010101020103020002010202	42557
BASIN	11	T2_ORIENTATION_MOVE_LEX	00000001000200030100010101020200020102020300	8022
BASIN	11	T2_ORIENTATION_MOVE_LEX	00010002000300040101010201030200020102020203	8788
BASIN	11	T2_ORIENTATION_MOVE_LEX	00010002000301000101010201030200020102020300	12563
BASIN	11	T2_ORIENTATION_MOVE_LEX	00010002000301010102010302000201020202030301	50959
BASIN	11	T2_ORIENTATION_MOVE_LEX	00010002010001010102010302000201020202030301	18340
